Model,Accuracy,Balanced Accuracy,Macro-F1,Brier Score
Stacking fusion,0.967741935483871,0.9777777777777779,0.968235294117647,0.05000979969035559
Ordered sequence only (LSTM),0.9516129032258065,0.9617777777777778,0.9471534227726177,0.07809560918972855
Score-distribution descriptors only,0.8709677419354839,0.8808888888888889,0.8800101858925389,0.2114091631224103
Pattern + score-distribution descriptors,0.8548387096774194,0.876,0.8769655741084312,0.21607595325213266
Raw items only,0.8064516129032258,0.7537777777777778,0.7633333333333334,0.2771503220302595
Non-aggregate pattern descriptors only,0.6129032258064516,0.6662222222222223,0.6455712788259957,0.6431428328416501
