Model,Accuracy,Balanced Accuracy,Macro-F1,Brier Score,Noise Rate
Noisy responses: 0%,0.9516129032258065,0.9697777777777776,0.9419314392423637,0.05547570044184728,0.0
Noisy responses: 10%,0.8870967741935484,0.8951111111111111,0.8821566464423608,0.13949233430241267,0.1
Noisy responses: 20%,0.9032258064516129,0.9426666666666665,0.9125396825396825,0.12834151555746065,0.2
Noisy responses: 30%,0.8225806451612904,0.8488888888888889,0.8086010443457251,0.27163304086922585,0.3
