Condition,Rule Accuracy,Rule BalAcc,Proposed Accuracy,Proposed BalAcc
Missing 0 items,1.0,1.0,0.967741935483871,0.9777777777777779
Missing 2 items,0.6612903225806451,0.7428888888888888,0.9032258064516129,0.8808888888888887
Missing 4 items,0.20967741935483872,0.2937777777777778,0.7741935483870968,0.8235555555555555
Missing 6 items,0.0967741935483871,0.2,0.7580645161290323,0.7964444444444444
Noise 0%,1.0,1.0,0.9677,0.9778
Noise 10%,0.9225806451612902,0.9367555555555555,0.9,0.9081
Noise 20%,0.8693548387096774,0.8795555555555555,0.8484,0.8596
Noise 30%,0.8580645161290322,0.8671555555555555,0.8226,0.8529
