Model,Accuracy mean,Accuracy SD,Accuracy CI95,Balanced Accuracy mean,Balanced Accuracy SD,Balanced Accuracy CI95,Macro-F1 mean,Macro-F1 SD,Macro-F1 CI95
Ordinal LR (raw items),0.8837,0.0385,"[0.8197, 0.9508]",0.8966,0.0392,"[0.8268, 0.9676]",0.8566,0.0462,"[0.7684, 0.9378]"
Calibrated LightGBM,0.8758,0.0364,"[0.8070, 0.9355]",0.8648,0.0472,"[0.7828, 0.9383]",0.8659,0.0428,"[0.7954, 0.9283]"
