Evaluation Protocol,Model,Accuracy mean,Accuracy SD,Accuracy empirical 2.5th-97.5th percentile interval,Balanced Accuracy mean,Balanced Accuracy SD,Balanced Accuracy empirical 2.5th-97.5th percentile interval,Macro-F1 mean,Macro-F1 SD,Macro-F1 empirical 2.5th-97.5th percentile interval
Repeated stratified 5x10-fold cross-validation,Ordinal LR (raw items),0.8837,0.0385,"[0.8197, 0.9508]",0.8966,0.0392,"[0.8268, 0.9676]",0.8566,0.0462,"[0.7684, 0.9378]"
Repeated stratified 5x10-fold cross-validation,Calibrated LightGBM,0.8758,0.0364,"[0.8070, 0.9355]",0.8648,0.0472,"[0.7828, 0.9383]",0.8659,0.0428,"[0.7954, 0.9283]"
